"Story","Title","Result","Date","Stability","Duration (s)"
"Sscs71","Adding 100 rows to the empty Bins","PENDING","2019-07-22T15:32:58.939+05:30","0.0","0.24"
"Sample story","Another scenario exploring different combination of events","SUCCESS","2019-07-19T11:15:30.173+05:30","0.0","4.75"
"Sscs71","Updating X rows to the existing Bins","PENDING","2019-07-22T15:32:59.357+05:30","0.0","0.1"
"Sscs71","Verify by adding more than 100 bins","PENDING","2019-07-22T15:32:59.583+05:30","0.0","0.06"
"Sscs71","Verify that user adding less than 1 bin","PENDING","2019-07-22T15:32:59.462+05:30","0.0","0.02"
"Sscs71","Verify user-id is required to create bins","PENDING","2019-07-22T15:32:59.484+05:30","0.0","0.03"
"Sscs71","Verifying for invalid room_id","PENDING","2019-07-22T15:32:59.512+05:30","0.0","0.03"
"Sample story","Verifying service when user passes div number and store number with room and bins defined","PENDING","2019-07-22T15:32:59.686+05:30","0.0","0.15"
"Sample story","Verifying service when user passes only room id when room is defined without  bins.","PENDING","2019-07-22T15:32:59.839+05:30","0.0","0.09"
"Sample story","Verifying service when user passes roomid along with start position and number of records when room is defined with many bins","PENDING","2019-07-22T15:32:59.937+05:30","0.0","0.13"
"Sample story","Verifying services when user passes division and store number with room undefined.","PENDING","2019-07-22T15:33:00.075+05:30","0.0","0.01"
